Name,county_state,date1,Serial,date2,Pre_rally_beg,pre_rally_end,post_rally_beg,post_rally_end,average_growth_new_cases,pre_rally_rate,post_rally_rate,post_rally_growth_new_cases,post_rally_change_in_growth,pre_rally_rate,post_rally_rate,post_rally_growth_deaths
Donald Trump,Dauphin_Pennsylvania,20200926,Dauphin_Pennsylvania_20200926,9/26/2020,9/12/2020,9/26/2020,9/26/2020,10/10/2020,-2.5%,51274,58929,14.93%,-695.50%,2424,2728,12.54%
Donald Trump,Cuyahoga_Ohio,20200929,Cuyahoga_Ohio_20200929,9/29/2020,9/15/2020,9/29/2020,9/29/2020,10/13/2020,-4.7%,240452,271085,12.74%,-371.98%,9054,9961,10.02%
Donald Trump,Cuyahoga_Ohio,20200929,Cuyahoga_Ohio_20200929,9/29/2020,9/15/2020,9/29/2020,9/29/2020,10/13/2020,-4.7%,240452,271085,12.74%,-371.98%,9054,9961,10.02%
Joe Biden,Allegheny_Pennsylvania,20200930,Allegheny_Pennsylvania_20200930,9/30/2020,9/16/2020,9/30/2020,9/30/2020,10/14/2020,-1.5%,166110,194035,16.81%,-1258.86%,5243,5866,11.88%
Joe Biden,Cambria_Pennsylvania,20200930,Cambria_Pennsylvania_20200930,9/30/2020,9/16/2020,9/30/2020,9/30/2020,10/14/2020,38.2%,7754,10405,34.19%,-10.44%,98,105,7.14%
Joe Biden,Cuyahoga_Ohio,20200930,Cuyahoga_Ohio_20200930,9/30/2020,9/16/2020,9/30/2020,9/30/2020,10/14/2020,-4.7%,241266,272193,12.82%,-373.66%,9080,9974,9.85%
Joe Biden,Stark_Ohio,20200930,Stark_Ohio_20200930,9/30/2020,9/16/2020,9/30/2020,9/30/2020,10/14/2020,12.6%,39073,47909,22.61%,79.28%,2391,2665,11.46%
Joe Biden,Westmoreland_Pennsylvania,20200930,Westmoreland_Pennsylvania_20200930,9/30/2020,9/16/2020,9/30/2020,9/30/2020,10/14/2020,28.6%,29753,39012,31.12%,8.89%,727,885,21.73%
Joe Biden,Kent_Michigan,20201002,Kent_Michigan_20201002,10/2/2020,9/18/2020,10/2/2020,10/2/2020,10/16/2020,14.6%,136253,167549,22.97%,56.82%,2442,2610,6.88%
Joe Biden,Miami-Dade_Florida,20201005,Miami-Dade_Florida_20201005,10/5/2020,9/21/2020,10/5/2020,10/5/2020,10/19/2020,-14.2%,2374457,2632201,10.85%,-176.23%,45107,51735,14.69%
Joe Biden,Adams_Pennsylvania,20201006,Adams_Pennsylvania_20201006,10/6/2020,9/22/2020,10/6/2020,10/6/2020,10/20/2020,5.2%,11774,14280,21.28%,310.07%,362,397,9.67%
Joe Biden,Clark_Nevada,20201009,Clark_Nevada_20201009,10/9/2020,9/25/2020,10/9/2020,10/9/2020,10/23/2020,-6.2%,950212,1109087,16.72%,-368.18%,19565,21939,12.13%
Joe Biden,Erie_Pennsylvania,20201010,Erie_Pennsylvania_20201010,10/10/2020,9/26/2020,10/10/2020,10/10/2020,10/24/2020,7.2%,22651,27918,23.25%,221.81%,672,720,7.14%
Joe Biden,Hamilton_Ohio,20201012,Hamilton_Ohio_20201012,10/12/2020,9/28/2020,10/12/2020,10/12/2020,10/26/2020,3.9%,194287,241755,24.43%,518.63%,4606,5100,10.73%
Joe Biden,Lucas_Ohio,20201012,Lucas_Ohio_20201012,10/12/2020,9/28/2020,10/12/2020,10/12/2020,10/26/2020,-4.6%,105680,122156,15.59%,-440.64%,5147,5574,8.30%
Donald Trump,Seminole_Florida,20201012,Seminole_Florida_20201012,10/12/2020,9/28/2020,10/12/2020,10/12/2020,10/26/2020,-11.0%,129206,146359,13.28%,-221.20%,3136,3517,12.15%
Joe Biden,Broward_Florida,20201013,Broward_Florida_20201013,10/13/2020,9/29/2020,10/13/2020,10/13/2020,10/27/2020,-13.1%,1094594,1226358,12.04%,-191.56%,20016,22643,13.12%
Donald Trump,Cambria_Pennsylvania,20201013,Cambria_Pennsylvania_20201013,10/13/2020,9/29/2020,10/13/2020,10/13/2020,10/27/2020,38.2%,9432,13745,45.73%,19.78%,98,105,7.14%
Donald Trump,Polk_Iowa,20201014,Polk_Iowa_20201014,10/14/2020,9/30/2020,10/14/2020,10/14/2020,10/28/2020,-0.6%,234308,275384,17.53%,-3095.93%,3808,4263,11.95%
Joe Biden,Philadelphia_Pennsylvania,20201015,Philadelphia_Pennsylvania_20201015,10/15/2020,10/1/2020,10/15/2020,10/15/2020,10/29/2020,-7.3%,536708,625351,16.52%,-325.18%,25840,28083,8.68%
