name,city,county,state,county_state,date,reason
Mike Pence,Elizabeth City,Pasquotank,North Carolina,Pasquotank_North Carolina,20201031,Airport campaign rally
Mike Pence,Elm City,Wilson,North Carolina,Wilson_North Carolina,20201031,Airport campaign rally
Donald Trump,Reading,Berks,Pennsylvania,Berks_Pennsylvania,20201031,Campaign rally
Donald Trump,Newtown,Bucks,Pennsylvania,Bucks_Pennsylvania,20201031,Campaign rally
Donald Trump,Butler,Butler,Pennsylvania,Butler_Pennsylvania,20201031,Airport rally
Donald Trump,Montoursville,Lycoming,Pennsylvania,Lycoming_Pennsylvania,20201031,Airport rally
Donald Trump,Opa-lacka,Miami-Dade,Florida,Miami-Dade_Florida,20201101,Airport rally
Donald Trump,Rome,Floyd,Georgia,Floyd_Georgia,20201101,Airport rally
Kamala Harris,Gwinnett County,Gwinnett,Georgia,Gwinnett_Georgia,20201101,Voter mobilization event
Donald Trump,Dubuque,Dubuque,Iowa,Dubuque_Iowa,20201101,Airport rally
Donald Trump,Washington,Macomb,Michigan,Macomb_Michigan,20201101,Airport rally
Donald Trump,Hickory,Catawba,North Carolina,Catawba_North Carolina,20201101,Airport rally
Kamala Harris,Fayetteville,Cumberland,North Carolina,Cumberland_North Carolina,20201101,Voter mobilization event
Mike Pence,Boone,Watauga,North Carolina,Watauga_North Carolina,20201101,Attend church service
Kamala Harris,Goldsboro,Wayne,North Carolina,Wayne_North Carolina,20201101,Voter mobilization event
Joe Biden,Philadelphia,Philadelphia,Pennsylvania,Philadelphia_Pennsylvania,20201101,"""Souls to the Polls"" campaign event; drive-in rally"
Donald Trump,Traverse City,Grand Traverse,Michigan,Grand Traverse_Michigan,20201102,Airport rally
Donald Trump,Grand Rapids,Kent,Michigan,Kent_Michigan,20201102,Airport rally
Joe Biden,Cleveland,Cleveland,North Carolina,Cleveland_North Carolina,20201102,Campaign speech
Donald Trump,Fayetteville,Cumberland,North Carolina,Cumberland_North Carolina,20201102,Airport rally
Joe Biden,Pittsburgh,Allegheny,Pennsylvania,Allegheny_Pennsylvania,20201102,Drive-in rally
Mike Pence,Erie,Erie,Pennsylvania,Erie_Pennsylvania,20201102,Airport rally
Kamala Harris,Lazerne,Lazerne,Pennsylvania,Lazerne_Pennsylvania,20201102,Voter mobilization event
Kamala Harris,Lehigh Valley,Lehigh,Pennsylvania,Lehigh_Pennsylvania,20201102,Voter mobilization event
Donald Trump,Avoca,Luzerne,Pennsylvania,Luzerne_Pennsylvania,20201102,Airport rally
Kamala Harris,Philadelphia,Philadelphia,Pennsylvania,Philadelphia_Pennsylvania,20201102,Drive-in rally
Mike Pence,Latrobe,Westmoreland,Pennsylvania,Westmoreland_Pennsylvania,20201102,Airport rally
Donald Trump,Kenosha,Kenosha ,Wisconsin,Kenosha _Wisconsin,20201102,Airport rally
Joe Biden,Wilmington ,New Castle,Delaware,New Castle_Delaware,20201103,Election Day stop
Kamala Harris,Detroit,Wayne,Michigan,Wayne_Michigan,20201103,Voter turnout event
Joe Biden,Philadelphia,Philadelphia,Pennsylvania,Philadelphia_Pennsylvania,20201103,Voter turnout event
