year,date1,cases,end_cases,perc_cng_cases
2020,20201101,2220.0,3027.0,0.3635135135135135
2020,20200801,388.0,634.0,0.634020618556701
2020,20200901,639.0,836.0,0.3082942097026604
2020,20201001,839.0,1051.0,0.2526817640047676
2020,20201101,1051.0,1494.0,0.42150333016175073
2020,20200801,3962.0,5376.0,0.3568904593639576
2020,20200901,5469.0,9722.0,0.7776558785884073
2020,20201001,9980.0,16484.0,0.6517034068136273
2020,20201101,16581.0,20782.0,0.25336228213014894
2020,20200801,6959.0,7805.0,0.1215691909757149
2020,20200901,7824.0,8893.0,0.13663087934560328
2020,20201001,8929.0,10445.0,0.16978385037518198
2020,20201101,10513.0,13686.0,0.30181679824978597
2020,20200801,1657.0,2468.0,0.4894387447193724
2020,20200901,2492.0,3179.0,0.27568218298555375
2020,20201001,3224.0,4258.0,0.3207196029776675
2020,20201101,4306.0,4964.0,0.15281003251277286
2020,20200801,757.0,866.0,0.14398943196829592
2020,20200901,871.0,917.0,0.05281285878300804
2020,20201001,919.0,1022.0,0.11207834602829161
2020,20201101,1024.0,1102.0,0.076171875
2020,20200801,111.0,210.0,0.8918918918918919
2020,20200901,211.0,280.0,0.32701421800947866
2020,20201001,283.0,429.0,0.5159010600706714
2020,20201101,437.0,827.0,0.8924485125858124
2020,20200801,215.0,474.0,1.2046511627906977
2020,20200901,474.0,985.0,1.0780590717299579
2020,20201001,985.0,1572.0,0.5959390862944163
2020,20201101,1572.0,2654.0,0.688295165394402
2020,20200801,291.0,322.0,0.10652920962199312
2020,20200901,323.0,357.0,0.10526315789473684
2020,20201001,359.0,446.0,0.24233983286908078
2020,20201101,446.0,502.0,0.12556053811659193
2020,20200801,239.0,376.0,0.5732217573221757
2020,20200901,379.0,659.0,0.7387862796833773
2020,20201001,679.0,1301.0,0.9160530191458026
2020,20201101,1313.0,1799.0,0.37014470677837014
2020,20200801,56.0,94.0,0.6785714285714286
2020,20200901,94.0,125.0,0.32978723404255317
2020,20201001,144.0,300.0,1.0833333333333333
2020,20201101,305.0,447.0,0.46557377049180326
2020,20200801,2652.0,4029.0,0.5192307692307693
2020,20200901,4147.0,6231.0,0.5025319508078129
2020,20201001,6312.0,9427.0,0.49350443599493027
2020,20201101,9565.0,13050.0,0.3643491897543126
2020,20200801,600.0,785.0,0.30833333333333335
2020,20200901,789.0,1074.0,0.3612167300380228
2020,20201001,1082.0,1840.0,0.7005545286506469
2020,20201101,1892.0,3218.0,0.7008456659619451
2020,20200801,259.0,461.0,0.7799227799227799
2020,20200901,467.0,591.0,0.26552462526766596
2020,20201001,617.0,1203.0,0.9497568881685575
2020,20201101,1225.0,2530.0,1.0653061224489795
2020,20200801,1883.0,2616.0,0.38927243759957514
2020,20200901,2638.0,3217.0,0.21948445792266869
2020,20201001,3255.0,4651.0,0.4288786482334869
2020,20201101,4701.0,5901.0,0.2552648372686662
2020,20200801,4885.0,5678.0,0.1623336745138178
2020,20200901,5719.0,6958.0,0.21664626682986537
2020,20201001,7002.0,8223.0,0.17437874892887748
2020,20201101,8282.0,10180.0,0.22917169765757064
2020,20200801,550.0,879.0,0.5981818181818181
2020,20200901,889.0,1047.0,0.17772778402699663
2020,20201001,1049.0,1253.0,0.19447092469018112
2020,20201101,1265.0,1412.0,0.11620553359683794
2020,20200801,190.0,377.0,0.9842105263157894
2020,20200901,383.0,653.0,0.7049608355091384
2020,20201001,656.0,750.0,0.14329268292682926
2020,20201101,754.0,923.0,0.22413793103448276
2020,20200801,152.0,233.0,0.5328947368421053
2020,20200901,236.0,357.0,0.5127118644067796
2020,20201001,367.0,520.0,0.41689373297002724
2020,20201101,530.0,705.0,0.330188679245283
2020,20200801,2.0,21.0,9.5
2020,20200901,21.0,35.0,0.6666666666666666
2020,20201001,35.0,40.0,0.14285714285714285
2020,20201101,40.0,47.0,0.175
2020,20200801,66.0,116.0,0.7575757575757576
2020,20200901,116.0,183.0,0.5775862068965517
2020,20201001,184.0,328.0,0.782608695652174
2020,20201101,334.0,647.0,0.937125748502994
2020,20200801,1077.0,1773.0,0.6462395543175488
2020,20200901,1784.0,2310.0,0.2948430493273543
2020,20201001,2334.0,3289.0,0.4091688089117395
2020,20201101,3329.0,4460.0,0.33974166416341245
2020,20200801,44.0,47.0,0.06818181818181818
2020,20200901,47.0,52.0,0.10638297872340426
2020,20201001,52.0,75.0,0.4423076923076923
2020,20201101,75.0,95.0,0.26666666666666666
2020,20200801,152.0,249.0,0.6381578947368421
2020,20200901,255.0,328.0,0.28627450980392155
2020,20201001,328.0,562.0,0.7134146341463414
2020,20201101,565.0,711.0,0.2584070796460177
2020,20200801,13.0,43.0,2.3076923076923075
2020,20200901,44.0,68.0,0.5454545454545454
2020,20201001,73.0,128.0,0.7534246575342466
2020,20201101,130.0,238.0,0.8307692307692308
2020,20200801,42167.0,59420.0,0.40915882087888633
2020,20200901,59716.0,67176.0,0.12492464331167526
2020,20201001,67499.0,82362.0,0.22019585475340375
2020,20201101,82966.0,98930.0,0.19241617047947351
2020,20200801,1067.0,1420.0,0.33083411433926896
2020,20200901,1433.0,1873.0,0.30704815073272856
2020,20201001,1895.0,2863.0,0.5108179419525066
2020,20201101,2924.0,4389.0,0.5010259917920656
2020,20200801,16.0,19.0,0.1875
2020,20200901,19.0,43.0,1.263157894736842
2020,20201001,44.0,139.0,2.159090909090909
2020,20201101,145.0,199.0,0.3724137931034483
2020,20200801,1780.0,2612.0,0.46741573033707867
2020,20200901,2633.0,3476.0,0.3201671097607292
2020,20201001,3511.0,4803.0,0.3679863286812874
2020,20201101,4803.0,6920.0,0.4407661877992921
2020,20200801,173.0,241.0,0.3930635838150289
2020,20200901,246.0,455.0,0.8495934959349594
2020,20201001,476.0,1078.0,1.2647058823529411
2020,20201101,1101.0,1923.0,0.7465940054495913
2020,20200801,67.0,136.0,1.0298507462686568
